id,director,top_5_cast
1865,Rob Marshall,"['Johnny Depp', 'Penélope Cruz', 'Ian McShane', 'Kevin McNally', 'Geoffrey Rush']"
41154,Barry Sonnenfeld,"['Will Smith', 'Tommy Lee Jones', 'Josh Brolin', 'Michael Stuhlbarg', 'Emma Thompson']"
122917,Peter Jackson,"['Martin Freeman', 'Ian McKellen', 'Richard Armitage', 'Ken Stott', 'Graham McTavish']"
1930,Marc Webb,"['Andrew Garfield', 'Emma Stone', 'Rhys Ifans', 'Denis Leary', 'Campbell Scott']"
20662,Ridley Scott,"['Russell Crowe', 'Cate Blanchett', 'Max von Sydow', 'William Hurt', 'Mark Strong']"
57158,Peter Jackson,"['Martin Freeman', 'Ian McKellen', 'Richard Armitage', 'Ken Stott', 'Graham McTavish']"
2268,Chris Weitz,"['Dakota Blue Richards', 'Nicole Kidman', 'Daniel Craig', 'Sam Elliott', 'Eva Green']"
254,Peter Jackson,"['Naomi Watts', 'Jack Black', 'Adrien Brody', 'Thomas Kretschmann', 'Colin Hanks']"
597,James Cameron,"['Kate Winslet', 'Leonardo DiCaprio', 'Frances Fisher', 'Billy Zane', 'Kathy Bates']"
271110,Anthony Russo,"['Chris Evans', 'Robert Downey Jr.', 'Scarlett Johansson', 'Sebastian Stan', 'Anthony Mackie']"
44833,Peter Berg,"['Taylor Kitsch', 'Alexander Skarsgård', 'Rihanna', 'Brooklyn Decker', 'Tadanobu Asano']"
135397,Colin Trevorrow,"['Chris Pratt', 'Bryce Dallas Howard', 'Irrfan Khan', ""Vincent D'Onofrio"", 'Nick Robinson']"
37724,Sam Mendes,"['Daniel Craig', 'Judi Dench', 'Javier Bardem', 'Ralph Fiennes', 'Naomie Harris']"
558,Sam Raimi,"['Tobey Maguire', 'Kirsten Dunst', 'James Franco', 'Alfred Molina', 'Rosemary Harris']"
68721,Shane Black,"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle', 'Guy Pearce', 'Rebecca Hall']"
12155,Tim Burton,"['Mia Wasikowska', 'Johnny Depp', 'Anne Hathaway', 'Helena Bonham Carter', 'Crispin Glover']"
36668,Brett Ratner,"['Hugh Jackman', 'Halle Berry', 'Ian McKellen', 'Patrick Stewart', 'Famke Janssen']"
62211,Dan Scanlon,"['Billy Crystal', 'John Goodman', 'Steve Buscemi', 'Helen Mirren', 'Noah Johnston']"
8373,Michael Bay,"['Shia LaBeouf', 'Megan Fox', 'Josh Duhamel', 'Rainn Wilson', 'Tyrese Gibson']"
91314,Michael Bay,"['Mark Wahlberg', 'Stanley Tucci', 'Kelsey Grammer', 'Nicola Peltz', 'Jack Reynor']"
68728,Sam Raimi,"['James Franco', 'Mila Kunis', 'Rachel Weisz', 'Michelle Williams', 'Zach Braff']"
102382,Marc Webb,"['Andrew Garfield', 'Emma Stone', 'Jamie Foxx', 'Dane DeHaan', 'Campbell Scott']"
20526,Joseph Kosinski,"['Garrett Hedlund', 'Jeff Bridges', 'Olivia Wilde', 'Bruce Boxleitner', 'Yaya DaCosta']"
49013,John Lasseter,"['Owen Wilson', 'Larry the Cable Guy', 'Michael Caine', 'Emily Mortimer', 'John Turturro']"
44912,Martin Campbell,"['Ryan Reynolds', 'Blake Lively', 'Peter Sarsgaard', 'Tim Robbins', 'Mark Strong']"
10193,Lee Unkrich,"['Tom Hanks', 'Tim Allen', 'Ned Beatty', 'Joan Cusack', 'Michael Keaton']"
534,McG,"['Christian Bale', 'Sam Worthington', 'Anton Yelchin', 'Moon Bloodgood', 'Bryce Dallas Howard']"
168259,James Wan,"['Vin Diesel', 'Paul Walker', 'Dwayne Johnson', 'Michelle Rodriguez', 'Tyrese Gibson']"
72190,Marc Forster,"['Brad Pitt', 'Mireille Enos', 'Abigail Hargrove', 'Sterling Jerins', 'James Badge Dale']"
127585,Bryan Singer,"['Hugh Jackman', 'James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence', 'Halle Berry']"
54138,J.J. Abrams,"['Chris Pine', 'Zachary Quinto', 'Zoe Saldana', 'Karl Urban', 'Simon Pegg']"
81005,Bryan Singer,"['Nicholas Hoult', 'Eleanor Tomlinson', 'Ewan McGregor', 'Stanley Tucci', 'Ian McShane']"
64682,Baz Luhrmann,"['Leonardo DiCaprio', 'Tobey Maguire', 'Carey Mulligan', 'Joel Edgerton', 'Elizabeth Debicki']"
9543,Mike Newell,"['Jake Gyllenhaal', 'Gemma Arterton', 'Ben Kingsley', 'Alfred Molina', 'Steve Toussaint']"
68726,Guillermo del Toro,"['Idris Elba', 'Charlie Hunnam', 'Charlie Day', 'Ron Perlman', 'Burn Gorman']"
38356,Michael Bay,"['Shia LaBeouf', 'John Malkovich', 'Ken Jeong', 'Frances McDormand', 'Josh Duhamel']"
217,Steven Spielberg,"['Harrison Ford', 'Cate Blanchett', 'Shia LaBeouf', 'Ray Winstone', 'Karen Allen']"
105864,Peter Sohn,"['Raymond Ochoa', 'Jack Bright', 'Jeffrey Wright', 'Frances McDormand', 'Maleah Nipay-Padilla']"
62177,Brenda Chapman,"['Kelly Macdonald', 'Julie Walters', 'Billy Connolly', 'Emma Thompson', 'Kevin McKidd']"
188927,Justin Lin,"['Chris Pine', 'Zachary Quinto', 'Karl Urban', 'Simon Pegg', 'Zoe Saldana']"
10681,Andrew Stanton,"['Ben Burtt', 'Elissa Knight', 'Jeff Garlin', 'Fred Willard', 'John Ratzenberger']"
5174,Brett Ratner,"['Chris Tucker', 'Jackie Chan', 'Hiroyuki Sanada', 'Max von Sydow', 'Yvan Attal']"
14161,Roland Emmerich,"['John Cusack', 'Amanda Peet', 'Chiwetel Ejiofor', 'Thandie Newton', 'Oliver Platt']"
17979,Robert Zemeckis,"['Gary Oldman', 'Jim Carrey', 'Steve Valentine', 'Daryl Sabara', 'Sage Ryan']"
76757,Lilly Wachowski,"['Mila Kunis', 'Channing Tatum', 'Sean Bean', 'Eddie Redmayne', 'Douglas Booth']"
258489,David Yates,"['Alexander Skarsgård', 'Margot Robbie', 'Christoph Waltz', 'Samuel L. Jackson', 'Djimon Hounsou']"
411,Andrew Adamson,"['William Moseley', 'Anna Popplewell', 'Skandar Keynes', 'Georgie Henley', 'Liam Neeson']"
246655,Bryan Singer,"['James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence', 'Nicholas Hoult', 'Oscar Isaac']"
155,Christopher Nolan,"['Christian Bale', 'Heath Ledger', 'Aaron Eckhart', 'Michael Caine', 'Maggie Gyllenhaal']"
14160,Pete Docter,"['Ed Asner', 'Christopher Plummer', 'Jordan Nagai', 'Bob Peterson', 'Delroy Lindo']"
15512,Conrad Vernon,"['Seth Rogen', 'Reese Witherspoon', 'Hugh Laurie', 'Paul Rudd', 'Kiefer Sutherland']"
1726,Jon Favreau,"['Robert Downey Jr.', 'Terrence Howard', 'Jeff Bridges', 'Shaun Toub', 'Gwyneth Paltrow']"
44826,Martin Scorsese,"['Ben Kingsley', 'Sacha Baron Cohen', 'Asa Butterfield', 'Chloë Grace Moretz', 'Ray Winstone']"
8487,Barry Sonnenfeld,"['Will Smith', 'Kevin Kline', 'Kenneth Branagh', 'Salma Hayek', 'M. Emmet Walsh']"
1735,Rob Cohen,"['Brendan Fraser', 'Jet Li', 'John Hannah', 'Maria Bello', 'Luke Ford']"
297761,David Ayer,"['Will Smith', 'Margot Robbie', 'Joel Kinnaman', 'Viola Davis', 'Jared Leto']"
2698,Tom Shadyac,"['Steve Carell', 'Lauren Graham', 'John Goodman', 'Jimmy Bennett', 'John Michael Higgins']"
137113,Doug Liman,"['Tom Cruise', 'Emily Blunt', 'Brendan Gleeson', 'Bill Paxton', 'Jonas Armstrong']"
9804,Kevin Reynolds,"['Kevin Costner', 'Chaim Girafi', 'Rick Aviles', 'R. D. Call', 'Zitto Kazann']"
14869,Stephen Sommers,"['Dennis Quaid', 'Channing Tatum', 'Marlon Wayans', 'Sienna Miller', 'Joseph Gordon-Levitt']"
150540,Pete Docter,"['Amy Poehler', 'Phyllis Smith', 'Richard Kind', 'Bill Hader', 'Lewis Black']"
278927,Jon Favreau,"['Neel Sethi', 'Bill Murray', 'Ben Kingsley', 'Idris Elba', 'Scarlett Johansson']"
10138,Jon Favreau,"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle', 'Scarlett Johansson', 'Mickey Rourke']"
58595,Rupert Sanders,"['Kristen Stewart', 'Charlize Theron', 'Chris Hemsworth', 'Sam Claflin', 'Ian McShane']"
102651,Robert Stromberg,"['Angelina Jolie', 'Elle Fanning', 'Sharlto Copley', 'Sam Riley', 'Juno Temple']"
119450,Matt Reeves,"['Andy Serkis', 'Jason Clarke', 'Gary Oldman', 'Keri Russell', 'Toby Kebbell']"
79698,Roland Joffé,"['Josh Hartnett', 'Simone Kessell', 'Tamsin Egerton', 'Alice Englert', 'Bipasha Basu']"
64686,Carl Rinsch,"['Keanu Reeves', 'Hiroyuki Sanada', 'Kou Shibasaki', 'Tadanobu Asano', 'Min Tanaka']"
100402,Anthony Russo,"['Chris Evans', 'Samuel L. Jackson', 'Scarlett Johansson', 'Robert Redford', 'Sebastian Stan']"
10192,Mike Mitchell,"['Mike Myers', 'Eddie Murphy', 'Cameron Diaz', 'Antonio Banderas', 'Julie Andrews']"
158852,Brad Bird,"['Britt Robertson', 'George Clooney', 'Raffey Cassidy', 'Thomas Robinson', 'Hugh Laurie']"
177572,Chris Williams,"['Scott Adsit', 'Ryan Potter', 'Daniel Henney', 'T.J. Miller', 'Jamie Chung']"
82690,Rich Moore,"['John C. Reilly', 'Sarah Silverman', 'Jack McBrayer', 'Jane Lynch', 'Alan Tudyk']"
5255,Robert Zemeckis,"['Tom Hanks', 'Michael Jeter', 'Nona Gaye', 'Peter Scolari', 'Eddie Deezen']"
47933,Roland Emmerich,"['Liam Hemsworth', 'Jeff Goldblum', 'Bill Pullman', 'Maika Monroe', 'Sela Ward']"
10191,Chris Sanders,"['Jay Baruchel', 'Gerard Butler', 'Craig Ferguson', 'America Ferrera', 'Jonah Hill']"
296,Jonathan Mostow,"['Arnold Schwarzenegger', 'Nick Stahl', 'Claire Danes', 'Kristanna Loken', 'David Andrews']"
118340,James Gunn,"['Chris Pratt', 'Zoe Saldana', 'Dave Bautista', 'Vin Diesel', 'Bradley Cooper']"
157336,Christopher Nolan,"['Matthew McConaughey', 'Jessica Chastain', 'Anne Hathaway', 'Michael Caine', 'Casey Affleck']"
27205,Christopher Nolan,"['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Ellen Page', 'Tom Hardy', 'Ken Watanabe']"
315011,Hideaki Anno,"['Hiroki Hasegawa', 'Yutaka Takenouchi', 'Satomi Ishihara', 'Kengo Kora', 'Matsuo Satoru']"
49051,Peter Jackson,"['Ian McKellen', 'Martin Freeman', 'Richard Armitage', 'Andy Serkis', 'Cate Blanchett']"
9799,Rob Cohen,"['Paul Walker', 'Vin Diesel', 'Michelle Rodriguez', 'Jordana Brewster', 'Rick Yune']"
4922,David Fincher,"['Cate Blanchett', 'Brad Pitt', 'Tilda Swinton', 'Julia Ormond', 'Elle Fanning']"
49538,Matthew Vaughn,"['James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence', 'Kevin Bacon', 'Rose Byrne']"
131634,Francis Lawrence,"['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth', 'Woody Harrelson', 'Elizabeth Banks']"
27022,Jon Turteltaub,"['Nicolas Cage', 'Jay Baruchel', 'Monica Bellucci', 'Alfred Molina', 'Teresa Palmer']"
503,Wolfgang Petersen,"['Kurt Russell', 'Richard Dreyfuss', 'Josh Lucas', 'Jacinda Barrett', 'Emmy Rossum']"
241259,James Bobin,"['Johnny Depp', 'Mia Wasikowska', 'Anne Hathaway', 'Helena Bonham Carter', 'Alan Rickman']"
810,Chris Miller,"['Mike Myers', 'Eddie Murphy', 'Cameron Diaz', 'Julie Andrews', 'Antonio Banderas']"
68735,Duncan Jones,"['Paula Patton', 'Travis Fimmel', 'Ben Foster', 'Robert Kazinsky', 'Dominic Cooper']"
87101,Alan Taylor,"['Arnold Schwarzenegger', 'Jason Clarke', 'Emilia Clarke', 'Jai Courtney', 'J.K. Simmons']"
10140,Michael Apted,"['Skandar Keynes', 'Georgie Henley', 'Simon Pegg', 'Gary Sweet', 'Arthur Angel']"
676,Michael Bay,"['Ben Affleck', 'Josh Hartnett', 'Kate Beckinsale', 'Cuba Gooding Jr.', 'Jon Voight']"
1858,Michael Bay,"['Shia LaBeouf', 'Josh Duhamel', 'Megan Fox', 'Rachael Taylor', 'Tyrese Gibson']"
1966,Oliver Stone,"['Colin Farrell', 'Angelina Jolie', 'Val Kilmer', 'Jared Leto', 'Jonathan Rhys Meyers']"
675,David Yates,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson', 'Michael Gambon', 'Ralph Fiennes']"
674,Mike Newell,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson', 'Ralph Fiennes', 'Michael Gambon']"
8960,Peter Berg,"['Will Smith', 'Charlize Theron', 'Jason Bateman', 'Jae Head', 'Eddie Marsan']"
6479,Francis Lawrence,"['Will Smith', 'Alice Braga', 'Charlie Tahan', 'Salli Richardson-Whitfield', 'Willow Smith']"
118,Tim Burton,"['Johnny Depp', 'Freddie Highmore', 'David Kelly', 'AnnaSophia Robb', 'Julia Winter']"
2062,Jan Pinkava,"['Patton Oswalt', 'Ian Holm', 'Lou Romano', 'Brian Dennehy', 'Peter Sohn']"
272,Christopher Nolan,"['Christian Bale', 'Michael Caine', 'Liam Neeson', 'Katie Holmes', 'Gary Oldman']"
10527,Eric Darnell,"['Ben Stiller', 'Jada Pinkett Smith', 'David Schwimmer', 'Chris Rock', 'Cedric the Entertainer']"
18360,Shawn Levy,"['Ben Stiller', 'Amy Adams', 'Owen Wilson', 'Hank Azaria', 'Robin Williams']"
2080,Gavin Hood,"['Hugh Jackman', 'Liev Schreiber', 'Danny Huston', 'Lynn Collins', 'Ryan Reynolds']"
605,Lilly Wachowski,"['Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss', 'Hugo Weaving', 'Mary Alice']"
109445,Chris Buck,"['Kristen Bell', 'Idina Menzel', 'Jonathan Groff', 'Josh Gad', 'Santino Fontana']"
604,Lilly Wachowski,"['Keanu Reeves', 'Carrie-Anne Moss', 'Laurence Fishburne', 'Hugo Weaving', 'Helmut Bakaitis']"
76338,Alan Taylor,"['Chris Hemsworth', 'Natalie Portman', 'Tom Hiddleston', 'Anthony Hopkins', 'Christopher Eccleston']"
76341,George Miller,"['Tom Hardy', 'Charlize Theron', 'Nicholas Hoult', 'Hugh Keays-Byrne', 'Josh Helman']"
13448,Ron Howard,"['Tom Hanks', 'Ewan McGregor', 'Ayelet Zurer', 'Stellan Skarsgård', 'Pierfrancesco Favino']"
10195,Kenneth Branagh,"['Chris Hemsworth', 'Natalie Portman', 'Tom Hiddleston', 'Anthony Hopkins', 'Stellan Skarsgård']"
13053,Chris Williams,"['John Travolta', 'Miley Cyrus', 'Susie Essman', 'Mark Walton', 'Malcolm McDowell']"
19585,Hoyt Yeatman,"['Sam Rockwell', 'Penélope Cruz', 'Tracy Morgan', 'Jon Favreau', 'Steve Buscemi']"
57165,Jonathan Liebesman,"['Sam Worthington', 'Liam Neeson', 'Ralph Fiennes', 'Edgar Ramírez', 'Toby Kebbell']"
62213,Tim Burton,"['Johnny Depp', 'Michelle Pfeiffer', 'Helena Bonham Carter', 'Jackie Earle Haley', 'Jonny Lee Miller']"
177677,Christopher McQuarrie,"['Tom Cruise', 'Rebecca Ferguson', 'Simon Pegg', 'Jeremy Renner', 'Ving Rhames']"
7978,Joe Johnston,"['Benicio del Toro', 'Anthony Hopkins', 'Emily Blunt', 'Hugo Weaving', 'Cristina Contes']"
5559,Steve Hickner,"['Jerry Seinfeld', 'Renée Zellweger', 'Jim Cummings', 'Matthew Broderick', 'Patrick Warburton']"
49444,Jennifer Yuh Nelson,"['Jack Black', 'Angelina Jolie', 'Dustin Hoffman', 'Gary Oldman', 'Jackie Chan']"
10196,M. Night Shyamalan,"['Noah Ringer', 'Nicola Peltz', 'Jackson Rathbone', 'Dev Patel', 'Shaun Toub']"
956,J.J. Abrams,"['Tom Cruise', 'Philip Seymour Hoffman', 'Ving Rhames', 'Billy Crudup', 'Jonathan Rhys Meyers']"
117251,Roland Emmerich,"['Channing Tatum', 'Jamie Foxx', 'Joey King', 'Maggie Gyllenhaal', 'Richard Jenkins']"
50321,Simon Wells,"['Seth Green', 'Joan Cusack', 'Dan Fogler', 'Breckin Meyer', 'Elisabeth Harnois']"
11619,David Bowers,"['Hugh Jackman', 'Kate Winslet', 'Ian McKellen', 'Jean Reno', 'Bill Nighy']"
266647,Joe Wright,"['Levi Miller', 'Garrett Hedlund', 'Hugh Jackman', 'Rooney Mara', 'Amanda Seyfried']"
82703,Rob Minkoff,"['Ty Burrell', 'Max Charles', 'Ariel Winter', 'Allison Janney', 'Ellie Kemper']"
652,Wolfgang Petersen,"['Brad Pitt', 'Orlando Bloom', 'Eric Bana', 'Brian Cox', 'Sean Bean']"
80321,Conrad Vernon,"['Ben Stiller', 'Sacha Baron Cohen', 'David Schwimmer', 'Frances McDormand', 'Chris Rock']"
36669,Lee Tamahori,"['Pierce Brosnan', 'Halle Berry', 'Rosamund Pike', 'Rick Yune', 'Toby Stephens']"
43074,Paul Feig,"['Melissa McCarthy', 'Kristen Wiig', 'Kate McKinnon', 'Leslie Jones', 'Chris Hemsworth']"
95,Michael Bay,"['Bruce Willis', 'Billy Bob Thornton', 'Ben Affleck', 'Liv Tyler', 'Will Patton']"
608,Barry Sonnenfeld,"['Tommy Lee Jones', 'Will Smith', 'Rip Torn', 'Lara Flynn Boyle', 'Johnny Knoxville']"
2310,Robert Zemeckis,"['Ray Winstone', 'Angelina Jolie', 'Anthony Hopkins', 'Robin Wright', 'John Malkovich']"
140300,Jennifer Yuh Nelson,"['Jack Black', 'Bryan Cranston', 'Dustin Hoffman', 'Angelina Jolie', 'J.K. Simmons']"
56292,Brad Bird,"['Tom Cruise', 'Jeremy Renner', 'Simon Pegg', 'Paula Patton', 'Anil Kapoor']"
81188,Peter Ramsey,"['Chris Pine', 'Alec Baldwin', 'Jude Law', 'Isla Fisher', 'Hugh Jackman']"
7552,Dean Parisot,"['Jim Carrey', 'Téa Leoni', 'Alec Baldwin', 'Richard Jenkins', 'Angie Harmon']"
616,Edward Zwick,"['Tom Cruise', 'Ken Watanabe', 'William Atherton', 'Chad Lindberg', 'Billy Connolly']"
147441,Ridley Scott,"['Christian Bale', 'Joel Edgerton', 'John Turturro', 'Aaron Paul', 'Ben Mendelsohn']"
13475,J.J. Abrams,"['Chris Pine', 'Zachary Quinto', 'Leonard Nimoy', 'Eric Bana', 'Bruce Greenwood']"
557,Sam Raimi,"['Tobey Maguire', 'Willem Dafoe', 'Kirsten Dunst', 'James Franco', 'Cliff Robertson']"
82702,Dean DeBlois,"['Jay Baruchel', 'Gerard Butler', 'Kristen Wiig', 'Jonah Hill', 'Cate Blanchett']"
205584,Alex Proyas,"['Brenton Thwaites', 'Nikolaj Coster-Waldau', 'Gerard Butler', 'Courtney Eaton', 'Elodie Yung']"
10048,Rob Cohen,"['Josh Lucas', 'Jessica Biel', 'Jamie Foxx', 'Sam Shepard', 'Richard Roxburgh']"
13183,Zack Snyder,"['Malin Åkerman', 'Billy Crudup', 'Carla Gugino', 'Jeffrey Dean Morgan', 'Patrick Wilson']"
944,Richard Donner,"['Mel Gibson', 'Danny Glover', 'Joe Pesci', 'Rene Russo', 'Jet Li']"
1927,Ang Lee,"['Eric Bana', 'Jennifer Connelly', 'Sam Elliott', 'Josh Lucas', 'Nick Nolte']"
72559,Jon M. Chu,"['Dwayne Johnson', 'D.J. Cotrona', 'Adrianne Palicki', 'Bruce Willis', 'Ray Park']"
7364,Breck Eisner,"['Matthew McConaughey', 'Penélope Cruz', 'Steve Zahn', 'William H. Macy', 'Lennie James']"
2114,Hironobu Sakaguchi,"['Donald Sutherland', 'Ming-Na Wen', 'Alec Baldwin', 'Ving Rhames', 'Steve Buscemi']"
1771,Joe Johnston,"['Chris Evans', 'Hugo Weaving', 'Tommy Lee Jones', 'Hayley Atwell', 'Sebastian Stan']"
36643,Michael Apted,"['Pierce Brosnan', 'Sophie Marceau', 'Robert Carlyle', 'Denise Richards', 'Robbie Coltrane']"
8619,Peter Weir,"['Russell Crowe', 'Paul Bettany', ""James D'Arcy"", 'Billy Boyd', 'Joseph Morgan']"
50620,Bill Condon,"['Kristen Stewart', 'Robert Pattinson', 'Taylor Lautner', 'Peter Facinelli', 'Elizabeth Reaser']"
65759,George Miller,"['Elijah Wood', 'Robin Williams', 'Pink', 'E.G. Daily', 'Johnny A. Sanchez']"
1724,Louis Leterrier,"['Edward Norton', 'Liv Tyler', 'Tim Roth', 'William Hurt', 'Tim Blake Nelson']"
267935,Steven Spielberg,"['Ruby Barnhill', 'Mark Rylance', 'Rebecca Hall', 'Jemaine Clement', 'Bill Hader']"
281957,Alejandro González Iñárritu,"['Leonardo DiCaprio', 'Tom Hardy', 'Will Poulter', 'Domhnall Gleeson', 'Paul Anderson']"
77950,David Soren,"['Ryan Reynolds', 'Paul Giamatti', 'Michael Peña', 'Samuel L. Jackson', 'Luis Guzmán']"
44896,Gore Verbinski,"['Johnny Depp', 'Isla Fisher', 'Ned Beatty', 'Bill Nighy', 'Alfred Molina']"
270946,Eric Darnell,"['Tom McGrath', 'Chris Miller', 'Christopher Knights', 'Conrad Vernon', 'John Malkovich']"
2503,Paul Greengrass,"['Matt Damon', 'Julia Stiles', 'David Strathairn', 'Scott Glenn', 'Paddy Considine']"
9502,Mark Osborne,"['Jack Black', 'Dustin Hoffman', 'Angelina Jolie', 'Jackie Chan', 'Lucy Liu']"
102899,Peyton Reed,"['Paul Rudd', 'Michael Douglas', 'Evangeline Lilly', 'Corey Stoll', 'Bobby Cannavale']"
101299,Francis Lawrence,"['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth', 'Woody Harrelson', 'Elizabeth Banks']"
228161,Tim Johnson,"['Jim Parsons', 'Rihanna', 'Steve Martin', 'Jennifer Lopez', 'Matt Jones']"
74,Steven Spielberg,"['Tom Cruise', 'Dakota Fanning', 'Miranda Otto', 'Justin Chatwin', 'Tim Robbins']"
8961,Michael Bay,"['Martin Lawrence', 'Will Smith', 'Jordi Mollà', 'Gabrielle Union', 'Peter Stormare']"
417859,Chris Miller,"['Antonio Banderas', 'Salma Hayek', 'Zach Galifianakis', 'Billy Bob Thornton', 'Amy Sedaris']"
27576,Phillip Noyce,"['Angelina Jolie', 'Liev Schreiber', 'Chiwetel Ejiofor', 'Daniel Olbrychski', 'August Diehl']"
86834,Darren Aronofsky,"['Russell Crowe', 'Jennifer Connelly', 'Emma Watson', 'Logan Lerman', 'Anthony Hopkins']"
17578,Steven Spielberg,"['Jamie Bell', 'Andy Serkis', 'Daniel Craig', 'Nick Frost', 'Simon Pegg']"
673,Alfonso Cuarón,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson', 'Gary Oldman', 'David Thewlis']"
6972,Baz Luhrmann,"['Nicole Kidman', 'Hugh Jackman', 'Essie Davis', 'David Wenham', 'Bryan Brown']"
82700,M. Night Shyamalan,"['Jaden Smith', 'Will Smith', 'Sophie Okonedo', 'Zoë Kravitz', 'Glenn Morshower']"
10567,Ralph Zondag,"['D. B. Sweeney', 'Alfre Woodard', 'Ossie Davis', 'Max Casella', 'Hayden Panettiere']"
181533,Shawn Levy,"['Ben Stiller', 'Rami Malek', 'Rebel Wilson', 'Robin Williams', 'Owen Wilson']"
38055,Tom McGrath,"['Will Ferrell', 'Brad Pitt', 'Tina Fey', 'Jonah Hill', 'David Cross']"
671,Chris Columbus,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson', 'Richard Harris', 'Tom Felton']"
49524,Robert Schwentke,"['Jeff Bridges', 'Ryan Reynolds', 'Kevin Bacon', 'Stephanie Szostak', 'Mary-Louise Parker']"
22,Gore Verbinski,"['Johnny Depp', 'Geoffrey Rush', 'Orlando Bloom', 'Keira Knightley', 'Jack Davenport']"
131631,Francis Lawrence,"['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth', 'Woody Harrelson', 'Donald Sutherland']"
591,Ron Howard,"['Tom Hanks', 'Audrey Tautou', 'Ian McKellen', 'Paul Bettany', 'Jean Reno']"
172385,Carlos Saldanha,"['Jesse Eisenberg', 'Anne Hathaway', 'Leslie Mann', 'Jamie Foxx', 'Andy García']"
36658,Bryan Singer,"['Patrick Stewart', 'Hugh Jackman', 'Ian McKellen', 'Halle Berry', 'Famke Janssen']"
51497,Justin Lin,"['Vin Diesel', 'Paul Walker', 'Jordana Brewster', 'Tyrese Gibson', 'Ludacris']"
58574,Guy Ritchie,"['Robert Downey Jr.', 'Jude Law', 'Jared Harris', 'Noomi Rapace', 'Kelly Reilly']"
18823,Louis Leterrier,"['Sam Worthington', 'Liam Neeson', 'Ralph Fiennes', 'Gemma Arterton', 'Jason Flemyng']"
861,Paul Verhoeven,"['Arnold Schwarzenegger', 'Sharon Stone', 'Rachel Ticotin', 'Ronny Cox', 'Michael Ironside']"
1911,John McTiernan,"['Antonio Banderas', 'Vladimir Kulich', 'Dennis Storhøi', 'Daniel Southern', 'Clive Russell']"
49040,Tony Gilroy,"['Jeremy Renner', 'Rachel Weisz', 'Edward Norton', 'Scott Glenn', 'Stacy Keach']"
